month,origin_month,horizon,padd,padd_name,model,stock_kb,previous_stock_kb,stock_change_kb,identity_stock_unclipped_kb,balance_kbd,model_reconciliation_kbd,supply_kbd,total_demand_kbd,production_kbd,demand_kbd,imports_kbd,exports_kbd,net_receipts_kbd,adjustments_kbd,transfers_kbd,direct_use_kbd,cdu_capacity_kbd,utilization_ratio
2027-03-01,2026-06-01,9,2,Midwest,constrained_level,105592.18826256272,103552.41139889577,2039.7768636669498,97762.7433991718,49.05032251495504,16.748931151720754,4019.510391705069,3970.4600691901132,1892.4578801843318,3839.415111432817,2998.809441244239,131.04495775729646,-913.6584619815669,-80.70088709677418,122.60241935483873,0.0,4283.0,0.8964312658026656
2027-04-01,2026-06-01,10,2,Midwest,constrained_level,106810.22164749073,105592.18826256272,1218.0333849280141,97532.06603697053,-7.689245406709233,48.29035823764304,3861.2138325652822,3868.9030779719924,1854.8974500768047,3747.418550322223,2940.3311616743467,121.48452764976953,-934.384698540707,-130.01873655913982,130.38865591397848,0.0,4283.0,0.8749517978805097
2027-05-01,2026-06-01,11,2,Midwest,constrained_level,107656.84314145322,106810.22164749073,846.6214939624915,94939.72667469629,-83.62385039594346,110.93422116892705,4041.7168433179713,4125.340693713915,1867.0127188940091,4013.1731553114573,3032.4158928571424,112.16753840245775,-790.8262039170507,-207.1137903225807,140.22822580645163,0.0,4283.0,0.9370005032247157
2027-06-01,2026-06-01,12,2,Midwest,constrained_level,107396.09024468281,107656.84314145322,-260.7528967704129,93685.79394470125,-41.797757666501184,33.10599444082075,4268.433832565283,4310.231590231785,1896.0507834101381,4165.647062582016,2907.6978283410135,144.58452764976954,-591.9380318740401,-52.85206989247311,109.47532258064517,0.0,4283.0,0.9726002947891701
2026-07-01,2026-06-01,1,3,Gulf Coast,constrained_level,228650.39207041546,233275.0,-4624.607929584541,236771.56102980376,112.7922912839922,-261.9731922383322,13742.399614055297,13629.607322771304,10596.99867127496,9417.642687594653,1356.9219220430107,4211.964635176651,1217.5854608294928,195.013287250384,375.88027265745,0.0,9888.0,0.9524315015771292
2026-08-01,2026-06-01,2,3,Gulf Coast,constrained_level,230322.49298983463,228650.39207041546,1672.100919419172,236044.69350524092,-23.447339502027262,77.38607883812958,13716.593162442394,13740.040501944422,10649.747058371735,9354.682318380674,1238.5219220430106,4385.358183563749,1147.7596543778802,241.4326420890938,439.13188556067587,0.0,9888.0,0.9460641503216701
2026-09-01,2026-06-01,3,3,Gulf Coast,constrained_level,231761.55732839924,230322.49298983463,1439.0643385646108,241497.31685886317,181.75411178740842,-133.7853005019214,13563.60025921659,13381.84614742918,10588.584047619048,9065.947318704142,1289.00063172043,4315.898828725039,1300.5114823348692,-83.92112135176649,469.42521889400916,0.0,9888.0,0.9168636042378784
2026-10-01,2026-06-01,4,3,Gulf Coast,constrained_level,232898.58657591132,231761.55732839924,1137.0292475120805,255967.47105468882,466.7791676072793,-430.100804784309,13878.651226958524,13411.872059351244,10803.598671274962,8917.926779013304,1108.3412768817204,4493.945280337942,1407.475783410138,59.41328725038409,499.82220814132097,0.0,9888.0,0.9018938894633196
2026-11-01,2026-06-01,5,3,Gulf Coast,constrained_level,235751.75317596164,232898.58657591132,2853.1666000503174,257579.2567306176,53.7261891976259,41.379364137384684,13910.02025921659,13856.294070018963,10812.490714285714,9359.568574627257,1128.8672983870968,4496.725495391705,1396.4914823348693,164.74554531490017,407.4252188940091,0.0,9888.0,0.9465583105407824
2026-12-01,2026-06-01,6,3,Gulf Coast,constrained_level,236677.2993332603,235751.75317596164,925.5461572986678,255158.95582328772,-78.07422281709296,107.9305504718887,13863.167355990783,13941.241578807878,10785.482542242704,9407.50275008284,1139.3928897849462,4533.738828725038,1349.5725576036866,202.78748079877116,385.93188556067577,0.0,9888.0,0.9514060224598342
2027-01-01,2026-06-01,7,3,Gulf Coast,constrained_level,237074.93326859656,236677.2993332603,397.6339353362564,270534.04543579184,495.97063266142413,-483.1437315215449,13643.631872119815,13147.661239458392,10580.063187403994,8800.580475249482,1225.7735349462366,4347.080764208909,1357.7661059907832,109.63909370199704,370.38995007680484,0.0,9888.0,0.8900263425616386
2027-02-01,2026-06-01,8,3,Gulf Coast,constrained_level,239732.07487199974,237074.93326859656,2657.1416034031718,288252.7138989389,632.8095879695375,-537.9116735622813,14018.253165620528,13385.443577650993,10729.634178981936,8673.021743999845,1234.574671129297,4712.421833651147,1355.871071825838,310.1718999947032,388.00134368875456,0.0,9888.0,0.8771259854368776
2027-03-01,2026-06-01,9,3,Gulf Coast,constrained_level,242780.16359406977,239732.07487199974,3048.088722070039,299510.8717075222,363.16638092204084,-264.84093827462027,14223.302839861752,13860.13645893971,10883.179316436252,9253.262146343704,1249.16063172043,4606.874312596006,1476.4370737327188,233.92941628264217,380.59640168970805,0.0,9888.0,0.9358072559004555
2027-04-01,2026-06-01,10,3,Gulf Coast,constrained_level,243792.49772938841,242780.16359406977,1012.3341353186406,303164.860112244,121.79961349072619,-88.05514231343817,14357.433592549924,14235.633979059197,10963.27738095238,9402.435150334159,1201.1339650537634,4833.198828725039,1516.0914823348694,306.63221198156685,370.29855222734244,0.0,9888.0,0.9508935224852506
2027-05-01,2026-06-01,11,3,Gulf Coast,constrained_level,243678.38485980278,243792.49772938841,-114.11286958563142,294543.7364028262,-278.10076481992746,274.41970451071353,14096.606065668204,14374.70683048813,10873.03738095238,9608.355098537286,1294.6509543010752,4766.351731950845,1384.9983640552991,138.56167434715823,405.3576920122887,0.0,9888.0,0.9717187599653404
2027-06-01,2026-06-01,12,3,Gulf Coast,constrained_level,241432.66704545417,243678.38485980278,-2245.717814348609,284881.85703417653,-322.062645621656,247.20538514336903,13893.280259216592,14215.342904838246,10935.164047619048,9612.590742779874,1278.0339650537635,4602.752162058372,1119.478149001536,145.6788786482335,414.9252188940091,0.0,9888.0,0.9721471220448902
2026-07-01,2026-06-01,1,4,Rocky Mountain,constrained_level,22634.285876862363,22336.0,298.2858768623628,21618.077142857146,-23.15880184331786,32.780926903394075,629.8542357910906,653.0130376344086,1070.543974654378,653.0,368.9445103686636,0.013037634408602148,-818.857655529954,-11.469331797235029,20.69273809523809,0.0,653.0,1.0
2026-08-01,2026-06-01,2,4,Rocky Mountain,constrained_level,23103.62468410806,22634.285876862363,469.33880724569826,21154.954285714288,-14.939447004608326,30.07940852866311,638.0735906298004,653.0130376344086,1086.0665552995392,653.0,372.33805875576036,0.013037634408602151,-821.6963652073733,-22.482235023041483,23.84757680491552,0.0,653.0,1.0
2026-09-01,2026-06-01,3,4,Rocky Mountain,constrained_level,23570.994181139722,23103.62468410806,467.369497031661,21105.04829493088,-1.6635330261136687,17.24251626050237,651.3495046082949,653.0130376344086,1089.4667703533028,653.0,398.9382738095238,0.013037634408602145,-806.6266877880186,-50.01857910906298,19.58972734254992,0.0,653.0,1.0
2026-10-01,2026-06-01,4,4,Rocky Mountain,constrained_level,23974.593296746705,23570.994181139722,403.5991156069831,21201.7245035476,3.1185873747329538,9.900738935169727,641.8671390168972,638.7485516421642,1108.5633294930876,638.7355140077556,372.1896716589862,0.013037634408602158,-815.115720046083,-44.40481566820275,20.634673579109062,0.0,653.0,0.9781554578985537
2026-11-01,2026-06-01,5,4,Rocky Mountain,constrained_level,24314.527173152335,23974.593296746705,339.93387640563014,21853.198881397977,21.715812595012494,-10.38468338149149,663.8228379416282,642.1070253466157,1119.8067703533027,642.0939877122071,374.86494047619044,0.013037634408602158,-817.9933544546852,-35.30524577572963,22.44972734254992,0.0,653.0,0.9832986029283417
2026-12-01,2026-06-01,6,4,Rocky Mountain,constrained_level,24743.866386221565,24314.527173152335,429.33921306923,21700.187203577123,-4.935860574866297,18.78551260935759,614.7574615975423,619.6933221724086,1103.769781105991,619.6673813121935,399.78967165898615,0.02594086021505377,-858.4383006912444,-53.49513824884791,23.131447772657445,0.0,653.0,0.9489546421319962
2027-01-01,2026-06-01,7,4,Rocky Mountain,constrained_level,24934.4957378884,24743.866386221565,190.62935166683383,20625.03448543019,-34.68234574667525,40.83167967141183,568.5639132104452,603.2462589571205,1073.4149423963133,603.2009632581958,362.13805875576037,0.045295698924731176,-866.8963652073734,-24.004815668202767,23.912092933947772,0.0,653.0,0.9237380754336841
2027-02-01,2026-06-01,8,4,Rocky Mountain,constrained_level,24916.184767582436,24934.4957378884,-18.310970305963565,21168.370889292186,19.404871566499878,-20.05883479171286,624.8363190582127,605.4314474917129,1088.2226652629906,605.4184098573043,397.9059913793103,0.01303763440860218,-848.9445695614176,-34.95225726998253,22.604489247311832,0.0,653.0,0.9271338588932684
2027-03-01,2026-06-01,9,4,Rocky Mountain,constrained_level,25148.912379955185,24916.184767582436,232.72761237274972,21496.354033297168,10.580101419515529,-3.0727590849106994,611.7703648233487,601.1902634038332,1109.285910138249,601.1772257694246,356.1316071428571,0.013037634408602124,-849.8447523041475,-29.546751152073718,25.744350998463904,0.0,653.0,0.9206389368597621
2027-04-01,2026-06-01,10,4,Rocky Mountain,constrained_level,25313.70896745686,25148.912379955185,164.79658750167437,20726.85120806163,-25.650094174517903,31.14331375790705,551.0161712749614,576.6662654494794,1108.1934370199692,576.6265611484041,348.66494047619045,0.039704301075268816,-872.0866877880185,-61.318579109062995,27.563060675883253,0.0,653.0,0.8830422069653968
2027-05-01,2026-06-01,11,4,Rocky Mountain,constrained_level,25186.832539621868,25313.70896745686,-126.87642783499177,20475.092115887615,-8.12126103787142,4.028473043194266,588.576816436252,596.6980774741234,1117.9955875576038,596.665685001005,333.26063940092166,0.032392473118279565,-889.8447523041476,1.6403456221198454,25.52499615975422,0.0,653.0,0.9137299923445712
2027-06-01,2026-06-01,12,4,Rocky Mountain,constrained_level,25310.582258214596,25186.832539621868,123.74971859272773,19246.986125104202,-40.936866359447095,45.061856979204684,612.082837941628,653.0197043010753,1118.6134370199693,653.0,371.4916071428571,0.01970430107526882,-865.5066877880186,-33.57857910906297,21.063060675883257,0.0,653.0,1.0
2026-07-01,2026-06-01,1,5,West Coast,constrained_level,43536.360875410384,40752.0,2784.3608754103843,44467.307226550074,119.84862021129265,-30.03052745611896,2085.7058045314902,1965.8571843201976,664.7657949308757,1964.4261704953128,1212.850157450077,1.4310138248847881,160.19367319508447,-19.193354454685092,67.08953341013824,0.0,2275.0,0.8634840309869507
2026-08-01,2026-06-01,2,5,West Coast,constrained_level,46292.16266286653,43536.360875410384,2755.8017874561483,49070.371260403634,148.4859365759212,-59.589104722497055,2158.1122561443935,2009.6263195684724,663.4109562211983,1995.6727250984263,1279.5146735791093,13.953594470046081,171.23883448540704,-7.625612519201141,51.57340437788018,0.0,2275.0,0.8772187802630446
2026-09-01,2026-06-01,3,5,West Coast,constrained_level,47799.93465954326,46292.16266286653,1507.7719966767254,52090.41932176035,100.66826871189073,-50.409202155999886,2084.4303206605227,1983.762051948632,687.9761175115209,1969.2224359732095,1208.964781105991,14.539615975422429,147.82657642089094,-48.21722542242705,87.88007104454684,0.0,2275.0,0.8655922795486635
2026-10-01,2026-06-01,4,5,West Coast,constrained_level,48020.414227821384,47799.93465954326,220.47956827812595,56985.6235660227,157.90981433104355,-150.7975701930395,2001.8219335637486,1843.912119232705,690.9980529953918,1842.9391699239493,1087.2049961597545,0.9729493087557604,145.6517377112135,-1.2707738095237886,79.23792050691242,0.0,2275.0,0.8100831516149227
2026-11-01,2026-06-01,5,5,West Coast,constrained_level,49003.85176743865,48020.414227821384,983.4375396172691,61217.335886834364,141.05707736038858,-108.27582603981294,2027.7236539938556,1886.666576633467,693.1894508448542,1885.6736273247113,1151.8181144393243,0.9929493087557706,161.31324308755757,-60.32389208909375,81.7267377112135,0.0,2275.0,0.8288675284943786
2026-12-01,2026-06-01,6,5,West Coast,constrained_level,49258.061410208655,49003.85176743865,254.20964277000166,63709.36745728534,80.38811517583804,-72.18780411874121,1999.8929013056838,1919.5047861298458,693.804504608295,1905.5769981114126,1044.4178993855608,13.927788018433178,156.04528609831027,27.058258448540712,78.56695276497693,0.0,2275.0,0.8376162629061155
2027-01-01,2026-06-01,7,5,West Coast,constrained_level,48984.33721833184,49258.061410208655,-273.72419187681226,65902.9470213328,70.76063109830511,-79.5904437394926,1937.9380625960066,1867.1774314977013,682.1012788018435,1859.443191866365,1135.4953187403996,7.734239631336408,141.83883448540703,-121.25787058371735,99.76050115207372,0.0,2275.0,0.8173376667544461
2027-02-01,2026-06-01,8,5,West Coast,constrained_level,48368.46834461049,48984.33721833184,-615.8688737213524,68227.31901370955,83.01328544202693,-105.00860236064665,1937.3666260792418,1854.3533406372148,684.2452800730972,1836.3552681757496,1065.841989644579,17.998072461465114,142.66889169182684,-56.14200374755022,100.75246841728904,0.0,2275.0,0.8071891288684614
2027-03-01,2026-06-01,9,5,West Coast,constrained_level,48221.50589536759,48368.46834461049,-146.9624492428993,68880.50675776775,21.07057238897437,-25.811296558100153,1959.899352918587,1938.8287805296127,679.3270852534563,1923.6816376724698,1048.4308026113674,15.147142857142862,159.10980222734253,-22.135289938556,95.16695276497693,0.0,2275.0,0.8455743462296571
2027-04-01,2026-06-01,10,5,West Coast,constrained_level,47759.12270639975,48221.50589536759,-462.3831889678404,71393.35127527623,83.76148391694915,-99.17425688254383,1946.9103206605228,1863.1488367435736,682.136117511521,1850.135887434818,1050.5714477726576,13.012949308755761,168.1865764208909,-42.44389208909364,88.46007104454685,0.0,2275.0,0.8132465439273925
2027-05-01,2026-06-01,11,5,West Coast,constrained_level,48159.946814687144,47759.12270639975,400.82410828739376,73247.73008845012,59.81867139270594,-46.8888614479513,2003.3703206605228,1943.5516492678166,674.9916013824886,1923.2883773784158,1051.934028417819,20.263271889400926,161.4775441628264,15.522774577573003,99.44437211981564,0.0,2275.0,0.845401484561941
2027-06-01,2026-06-01,12,5,West Coast,constrained_level,47953.31543020312,48159.946814687144,-206.63138448402606,72454.63145902037,-26.43662098099162,19.54890816485742,1997.6036539938561,2024.0402749748475,660.4294508448542,2007.7339923327584,1153.6247811059911,16.306282642089094,197.79990975422425,-83.69055875576042,69.44007104454684,0.0,2275.0,0.8825204361902235
