mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,mean_test_mae_kb,padd,model,stage,train_end,param_model__polynomialfeatures__degree,param_model__splinetransformer__degree,param_model__splinetransformer__n_knots,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__reg_lambda,param_model__regressor__mlpregressor__alpha,param_model__regressor__mlpregressor__hidden_layer_sizes,param_model__weights,param_model__regressor__huberregressor__alpha,param_model__regressor__huberregressor__epsilon
0.029077553749084474,0.023176474997026936,0.0010219573974609374,0.0007089475709115409,100.0,"{""ridge__alpha"": 100}",-778.1302108016401,-1023.7320752189431,-1362.6291682069138,-1958.1200521065512,-1480.677448013619,-1379.7748421238177,-826.5773050009606,-566.5842356914226,-676.9227052548126,-553.3885854763205,-1060.6536627895002,442.6668932879532,1,-992.7230249464009,-950.1817393332461,-953.5562042750435,-1007.2508141531282,-1098.1584780156231,-1125.6755350906758,-1140.489858304838,-1105.6189877562706,-1066.8441815836147,-1032.541008569063,-1047.3039832027903,66.49586851725175,1060.6536627895002,1,seasonal_ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.012886524200439453,0.011303789581584511,0.0007250785827636718,3.7278755754079026e-05,1000.0,"{""ridge__alpha"": 1000}",-750.3084219777471,-992.2043128409385,-1486.9067740632909,-2041.2505146645026,-1637.6496720779053,-1530.5831335159191,-809.2100927824495,-579.8109057295316,-632.8195547137015,-576.3866710039816,-1103.713005336997,499.1461293496426,3,-1065.3919522459903,-1014.3616198516463,-1010.7316203563705,-1066.8474511183356,-1166.388726252869,-1207.9283501630132,-1232.289094052764,-1194.068874939401,-1148.5704784442958,-1110.686839804711,-1121.7265007229396,75.99856919051999,1103.713005336997,1,seasonal_ridge_change,development,2024-06-01,,,,,,,,,,,,,
0.036355113983154295,0.018377530167650827,0.0014579296112060547,0.001547559140250061,1.0,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 1}",-969.1479376423384,-1838.9593567253148,-1331.4498331251468,-1806.5469422769247,-1350.326335275681,-1428.4448792655105,-845.0517147907016,-534.9984713915227,-612.6552557236911,-728.5675883019062,-1144.614831451874,450.143040898985,4,-853.4095827365311,-821.9020252857008,-877.7546857215453,-906.8053161098796,-995.9619068291529,-1015.1289802907203,-1049.881413128376,-1026.2966880640402,-994.2813935549899,-958.0009602995975,-949.9422952020534,75.49871000102615,1144.614831451874,1,polynomial_ridge_change,development,2024-06-01,1.0,,,,,,,,,,,,
0.029279756546020507,0.013526293125055381,0.0009157657623291016,0.00016994378649412757,10.0,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 10}",-814.6059446810958,-1483.8002195878853,-1206.6304246697307,-1848.1629705052628,-1328.2735679888563,-1322.4689259064367,-839.3110032350374,-536.409125422074,-619.5264204383146,-666.8198785420477,-1066.6008480976743,411.6320893529736,2,-866.4305222060818,-842.0166778026959,-891.686493339782,-932.8324730363291,-1018.2703906477084,-1034.717447760744,-1063.2785957054857,-1033.744144866692,-1001.5810656240149,-968.0155636239558,-965.257337461349,73.94576537626953,1066.6008480976743,1,polynomial_ridge_change,development,2024-06-01,1.0,,,,,,,,,,,,
0.038381314277648924,0.01891759759748527,0.0034579038619995117,0.00539502684349537,100.0,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 100}",-778.1302108016403,-1023.7320752189431,-1362.6291682069138,-1958.1200521065514,-1480.6774480136191,-1379.7748421238175,-826.5773050009603,-566.5842356914225,-676.9227052548123,-553.3885854763204,-1060.6536627895002,442.6668932879533,1,-992.7230249464009,-950.1817393332461,-953.5562042750435,-1007.2508141531279,-1098.1584780156231,-1125.6755350906758,-1140.4898583048378,-1105.6189877562708,-1066.844181583615,-1032.541008569063,-1047.3039832027905,66.49586851725175,1060.6536627895002,1,polynomial_ridge_change,development,2024-06-01,1.0,,,,,,,,,,,,
0.03256630897521973,0.012881072550216078,0.0008608818054199219,8.476944332453935e-05,1000.0,"{""polynomialfeatures__degree"": 1, ""ridge__alpha"": 1000}",-750.3084219777471,-992.2043128409385,-1486.9067740632909,-2041.2505146645026,-1637.6496720779053,-1530.5831335159191,-809.2100927824495,-579.8109057295316,-632.8195547137013,-576.3866710039816,-1103.713005336997,499.1461293496426,3,-1065.3919522459903,-1014.3616198516463,-1010.7316203563705,-1066.8474511183356,-1166.388726252869,-1207.9283501630132,-1232.289094052764,-1194.068874939401,-1148.5704784442958,-1110.686839804711,-1121.7265007229396,75.99856919051999,1103.713005336997,1,polynomial_ridge_change,development,2024-06-01,1.0,,,,,,,,,,,,
0.03900060653686523,0.006957952766379792,0.002914834022521973,0.002926446476267753,1.0,"{""polynomialfeatures__degree"": 2, ""ridge__alpha"": 1}",-5104.628760849828,-3454.3647291330794,-2935.0380066740713,-3332.1952777529063,-3059.640200502767,-1833.1878102488056,-3621.5652069976873,-2655.5530809046268,-1567.5742336192304,-2601.2198228535394,-3016.496712953654,939.6076685511231,8,-288.555771499228,-456.99993063548226,-520.4505957415155,-583.3237425226528,-623.375305225219,-702.2348818856548,-748.0439034954215,-793.2529675779007,-830.6469403331649,-764.8305853961729,-631.1714624312413,162.7775622315539,3016.496712953654,1,polynomial_ridge_change,development,2024-06-01,2.0,,,,,,,,,,,,
0.03288719654083252,0.01292435175090288,0.00205686092376709,0.0022439393654995893,10.0,"{""polynomialfeatures__degree"": 2, ""ridge__alpha"": 10}",-2308.9923344506988,-1902.4771776400983,-1818.7928524016068,-2579.16612386396,-1877.966597974096,-1584.3582280020994,-2388.7034907340803,-1090.4799204888745,-1909.2989703453186,-1114.7895227006863,-1857.5025218601518,472.01618179081214,7,-537.8597579219734,-611.6172346446593,-643.6667391273088,-677.8432266607463,-753.9974347457635,-791.3029268493497,-826.7251553323778,-841.0304800761331,-812.5607155058585,-778.8933314892057,-727.5497002353376,98.1174558941086,1857.5025218601518,1,polynomial_ridge_change,development,2024-06-01,2.0,,,,,,,,,,,,
0.030595803260803224,0.011472621576883502,0.0037789106369018554,0.002750877959717706,100.0,"{""polynomialfeatures__degree"": 2, ""ridge__alpha"": 100}",-1148.5796047811402,-1377.237927499499,-1790.3433066803184,-1777.841131871666,-1408.0324452872555,-1502.7338728185487,-1275.8028249737583,-665.2020686121899,-1506.112758617998,-688.0090674095424,-1313.9895008551916,370.00632401889663,6,-841.8991968579888,-822.831887851353,-849.7732989929392,-876.3100196435194,-964.4035244240453,-997.9429171194336,-1023.1765311085869,-1003.7445376186414,-964.6101114669036,-946.1035882676944,-929.0795613351107,70.66425678936095,1313.9895008551916,1,polynomial_ridge_change,development,2024-06-01,2.0,,,,,,,,,,,,
0.025504684448242186,0.005304368067062718,0.001415252685546875,0.0009951167252951923,1000.0,"{""polynomialfeatures__degree"": 2, ""ridge__alpha"": 1000}",-785.4002419940783,-1105.0110210003593,-1596.3474474213865,-1930.3193527707074,-1585.0670947287474,-1543.7823984157246,-811.0897561873794,-631.2015913927223,-827.6614753453072,-649.1366412545424,-1146.5017020510954,450.1205474064441,5,-1036.9389093675977,-982.0804005443819,-986.2632686121216,-1035.7198653493929,-1131.3492739848211,-1168.6598619245453,-1195.0360520638776,-1155.72650130696,-1112.130605110502,-1084.2584866059456,-1088.8163224870145,72.06119692374901,1146.5017020510954,1,polynomial_ridge_change,development,2024-06-01,2.0,,,,,,,,,,,,
