time_period,flow_breakdown,obs_value,assessment_code
2023-07-01,STOCKCH,-14652.0,1
2023-08-01,CLOSTLV,633544.0,1
2023-08-01,STOCKCH,-19610.0,1
2023-09-01,CLOSTLV,634646.0,1
2023-09-01,STOCKCH,1102.0,1
2023-10-01,CLOSTLV,643252.0,1
2023-10-01,STOCKCH,8606.0,1
2023-11-01,CLOSTLV,659962.0,1
2023-11-01,STOCKCH,16710.0,1
2023-12-01,CLOSTLV,647308.0,1
2023-12-01,STOCKCH,-12654.0,1
2024-01-01,INDPROD,389161.0,1
2024-01-01,REFINOBS,477381.0,1
2024-01-01,STATDIFF,-13095.0,3
2024-01-01,TOTEXPSB,125520.0,1
2024-01-01,TOTIMPSB,205447.0,1
2024-02-01,INDPROD,379960.0,1
2024-02-01,REFINOBS,431574.0,1
2024-02-01,STATDIFF,-19879.0,3
2024-02-01,TOTEXPSB,135152.0,1
2024-02-01,TOTIMPSB,189576.0,1
2024-03-01,INDPROD,408294.0,1
2024-03-01,REFINOBS,491803.0,1
2024-03-01,STATDIFF,-25331.0,3
2024-03-01,TOTEXPSB,133305.0,1
2024-03-01,TOTIMPSB,192082.0,1
2024-04-01,INDPROD,397459.0,1
2024-04-01,REFINOBS,476453.0,1
2024-04-01,STATDIFF,-24280.0,3
2024-04-01,TOTEXPSB,123010.0,1
2024-04-01,TOTIMPSB,197341.0,1
2024-05-01,INDPROD,409235.0,1
2024-05-01,REFINOBS,518273.0,1
2024-05-01,STATDIFF,-11884.0,3
2024-05-01,TOTEXPSB,127604.0,1
2024-05-01,TOTIMPSB,218720.0,1
2024-06-01,INDPROD,397196.0,1
2024-06-01,REFINOBS,504446.0,1
2024-06-01,STATDIFF,-22758.0,3
2024-06-01,TOTEXPSB,126932.0,1
2024-06-01,TOTIMPSB,199924.0,1
2024-07-01,INDPROD,409344.0,1
2024-07-01,REFINOBS,513583.0,1
2024-07-01,STATDIFF,-2827.0,3
2024-07-01,TOTEXPSB,129978.0,1
2024-07-01,TOTIMPSB,220808.0,1
2024-08-01,INDPROD,414270.0,1
2024-08-01,REFINOBS,522000.0,1
2024-08-01,STATDIFF,-27140.0,3
2024-08-01,TOTEXPSB,121129.0,1
2024-08-01,TOTIMPSB,196088.0,1
2024-09-01,INDPROD,395937.0,1
2024-09-01,REFINOBS,486017.0,1
2024-09-01,STATDIFF,-9906.0,3
2024-09-01,TOTEXPSB,111647.0,1
2024-09-01,TOTIMPSB,193678.0,1
2024-10-01,INDPROD,417158.0,1
2024-10-01,REFINOBS,499725.0,1
